epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.01765,1.45602,1.77571,1.25132,0.8121,0.72036,0.8027,0.50259,1.34075,1.10768,1.14294,0.000658537,0.000658537,0.000658537
2,13.5378,1.32098,0.99145,1.17633,0.8759,0.78428,0.79788,0.49419,1.32908,1.03775,1.15561,0.00129896,0.00129896,0.00129896
3,19.9906,1.31239,0.95747,1.15749,0.86128,0.72222,0.81068,0.50353,1.33333,1.07861,1.13114,0.00191299,0.00191299,0.00191299
4,26.3275,1.25051,0.90734,1.14248,0.82263,0.75926,0.85218,0.55846,1.25228,1.09192,1.13345,0.0018812,0.0018812,0.0018812
5,32.7909,1.25945,0.88572,1.14249,0.82583,0.87811,0.92814,0.63081,1.16312,0.79357,1.08144,0.0018416,0.0018416,0.0018416
6,39.2119,1.19595,0.8195,1.11554,0.86295,0.83333,0.874,0.57124,1.13678,0.88539,1.08172,0.001802,0.001802,0.001802
7,45.5315,1.2007,0.82271,1.10385,0.96027,0.89527,0.96728,0.61361,1.16033,0.76177,1.06805,0.0017624,0.0017624,0.0017624
8,51.8351,1.18118,0.79607,1.10775,0.88478,0.92593,0.94802,0.60196,1.28611,0.77414,1.11364,0.0017228,0.0017228,0.0017228
9,58.1421,1.14082,0.7801,1.09273,0.9133,0.90741,0.92073,0.59802,1.21806,0.75154,1.06821,0.0016832,0.0016832,0.0016832
10,64.5397,1.13857,0.75195,1.08422,0.89977,0.83126,0.91015,0.59888,1.1865,0.78271,1.07997,0.0016436,0.0016436,0.0016436
11,70.8278,1.11117,0.74356,1.07581,0.84048,0.92593,0.94084,0.60671,1.12936,0.76413,1.04776,0.001604,0.001604,0.001604
12,77.2602,1.07181,0.70873,1.07344,0.94067,0.881,0.94213,0.64223,1.05245,0.67511,1.03677,0.0015644,0.0015644,0.0015644
13,83.6382,1.05216,0.68876,1.06428,0.92071,0.88889,0.96281,0.64794,1.07664,0.69596,1.03093,0.0015248,0.0015248,0.0015248
14,89.9921,1.07274,0.68473,1.05979,0.86142,0.96296,0.95669,0.65336,1.15849,0.67136,1.03278,0.0014852,0.0014852,0.0014852
15,96.4256,1.03506,0.66852,1.05836,0.99766,0.85185,0.94068,0.63331,1.10768,0.674,1.02681,0.0014456,0.0014456,0.0014456
16,102.825,1.04504,0.66082,1.0443,0.92554,0.92077,0.96384,0.64467,1.12738,0.68258,1.02574,0.001406,0.001406,0.001406
17,109.101,1.04658,0.6546,1.05069,0.83842,0.96095,0.96156,0.68335,1.0639,0.64264,1.02731,0.0013664,0.0013664,0.0013664
18,115.473,1.00906,0.63394,1.04241,0.9794,0.88074,0.96584,0.68597,1.03551,0.5973,1.05207,0.0013268,0.0013268,0.0013268
19,121.794,1.02436,0.63496,1.05119,0.91104,0.94824,0.98168,0.69057,1.02032,0.6182,0.99518,0.0012872,0.0012872,0.0012872
20,128.176,0.98657,0.63643,1.03257,0.94091,0.94444,0.97419,0.68322,1.03859,0.60513,1.01309,0.0012476,0.0012476,0.0012476
21,134.518,0.9789,0.62014,1.02436,0.89726,0.9704,0.97304,0.68534,1.11542,0.63863,1.05487,0.001208,0.001208,0.001208
22,140.775,0.98411,0.62117,1.0307,0.9582,0.92593,0.97941,0.69596,0.98741,0.64008,0.99171,0.0011684,0.0011684,0.0011684
23,147.193,0.93208,0.59704,1.00955,0.93841,0.92593,0.97716,0.69024,1.00131,0.58098,1.03261,0.0011288,0.0011288,0.0011288
24,153.556,0.9246,0.58574,1.01109,0.94916,0.96296,0.9861,0.71163,0.93429,0.54222,0.98168,0.0010892,0.0010892,0.0010892
25,159.98,0.93676,0.58141,1.01752,0.94508,0.95612,0.97666,0.70511,0.95659,0.58809,0.98249,0.0010496,0.0010496,0.0010496
26,166.365,0.9071,0.57974,1.00614,0.93551,0.98148,0.97884,0.71547,0.95133,0.53961,0.97757,0.00101,0.00101,0.00101
27,172.731,0.91482,0.59085,1.01176,0.92699,0.94059,0.98183,0.71794,0.96608,0.56195,1.04894,0.0009704,0.0009704,0.0009704
28,179.08,0.91552,0.5732,1.00433,0.94405,0.92593,0.98126,0.75027,0.82707,0.51465,0.95211,0.0009308,0.0009308,0.0009308
29,185.513,0.88237,0.56239,0.99325,0.93557,0.96296,0.97998,0.7341,0.8879,0.54202,0.97017,0.0008912,0.0008912,0.0008912
30,191.91,0.89266,0.57845,0.99665,0.91703,0.94444,0.97708,0.71147,0.92551,0.53996,0.97528,0.0008516,0.0008516,0.0008516
31,198.29,0.88443,0.56543,1.00069,0.93955,0.94444,0.97785,0.73025,0.91436,0.56982,0.98246,0.000812,0.000812,0.000812
32,204.727,0.87855,0.55143,1.00804,0.92022,0.96296,0.98149,0.70714,0.93237,0.53474,1.03049,0.0007724,0.0007724,0.0007724
33,211.083,0.86951,0.53924,0.98984,0.94691,0.99106,0.98745,0.72572,0.91025,0.51497,0.97399,0.0007328,0.0007328,0.0007328
34,217.403,0.88453,0.54147,0.99864,0.95608,0.98148,0.98603,0.72022,0.91905,0.50848,0.98646,0.0006932,0.0006932,0.0006932
35,223.671,0.86242,0.53424,0.98998,0.98022,0.94444,0.98345,0.75468,0.83708,0.51401,0.9518,0.0006536,0.0006536,0.0006536
36,230.095,0.84695,0.52936,0.9888,0.94287,0.98148,0.98253,0.73884,0.87829,0.51932,0.95841,0.000614,0.000614,0.000614
37,236.51,0.85371,0.52771,0.98826,0.94027,0.98148,0.97991,0.75684,0.89249,0.50069,0.96462,0.0005744,0.0005744,0.0005744
38,242.821,0.83009,0.5184,0.97328,0.94533,0.96067,0.98603,0.74378,0.92804,0.50585,0.97602,0.0005348,0.0005348,0.0005348
39,249.093,0.82455,0.52019,0.96972,0.96187,0.94444,0.98488,0.75301,0.85009,0.5243,0.96448,0.0004952,0.0004952,0.0004952
40,255.459,0.88383,0.53388,1.01619,0.95724,0.96296,0.98354,0.75003,0.82953,0.48889,0.94333,0.0004556,0.0004556,0.0004556
41,261.68,0.70319,0.44807,0.90758,0.96205,0.93899,0.98453,0.74621,0.87065,0.50932,0.96492,0.000416,0.000416,0.000416
42,267.815,0.68738,0.43729,0.90508,0.92785,0.98148,0.98497,0.75124,0.88297,0.50018,0.95942,0.0003764,0.0003764,0.0003764
43,273.979,0.66569,0.42191,0.88989,0.95396,0.98148,0.98341,0.74096,0.87896,0.47605,0.94885,0.0003368,0.0003368,0.0003368
44,280.064,0.65561,0.40846,0.8866,0.94627,0.97847,0.9823,0.75759,0.88664,0.47691,0.95132,0.0002972,0.0002972,0.0002972
